"Name","Runtime","Created","val/segmentation/constraint/violating_samples","val/segmentation/constraint/total_samples","val/registration/constraint/total_samples","val/registration/constraint/violating_samples","val_extra/registration/iou/warped_vs_gt_epoch","val/registration/iou/warped_vs_gt_epoch","val_extra/segmentation/iou/pred_vs_gt_epoch","val/segmentation/iou/pred_vs_gt_epoch","seed","mode","modality","val_extra/registration/constraint/total_samples","val_extra/registration/constraint/violating_samples","val_extra/registration/constraint/violation_rate_epoch","val_extra/registration/constraint/violation_rate_step","val_extra/segmentation/constraint/total_samples","val_extra/segmentation/constraint/violating_samples","val_extra/segmentation/constraint/violation_rate_epoch","val_extra/segmentation/constraint/violation_rate_step","ID","coupling","sdf_mode","learning_sample_strategy","validation_sample_strategy","aff_def_mode","segmentator_unlearned","special_tag","val_extra/epoch","epoch"
"ex3-initial_decoupled-BCE_BlurredLoss-deformed-seed42","2861","2026-08-04T10:45:58.000Z","0","98","98","60","0.4027372896671295","0.9623523354530334","0.9632306098937988","0.9632306098937988","42","BCE_BlurredLoss","deformed","","","","","","","","","pzogbdm7","","","","","","","","","99"
"ex3-initial_decoupled-BCE_BlurredLoss-deformed-seed219","2406","2026-08-04T15:07:48.000Z","0","98","98","42","0.3512958288192749","0.9607353806495668","0.9627436995506288","0.9627436995506288","219","BCE_BlurredLoss","deformed","","","","","","","","","y485bcgn","","","","","","","","","82"
"ex3-initial_decoupled-BCE_BlurredLoss-deformed-seed1234","1564","2026-08-04T13:36:06.000Z","0","98","98","27","0.3283310830593109","0.9599870443344116","0.9629026055336","0.9629026055336","1234","BCE_BlurredLoss","deformed","","","","","","","","","pu4fst28","","","","","","","","","54"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-deformed-seed42","506","2026-08-04T10:35:45.000Z","0","98","98","4","0.2702600657939911","0.9490448832511902","0.962555766105652","0.962555766105652","42","BCE_OneSideSDFPlain","deformed","","","","","","","","","o4czignh","","","","","","","","","47"
"ex3-initial_decoupled-BCE_BCE-deformed-seed219","2963","2026-08-04T14:50:49.000Z","0","98","98","27","0.24976639449596405","0.9487820267677308","0.9626926779747008","0.9626926779747008","219","BCE_BCE","deformed","","","","","","","","","isfmyv3u","","","","","","","","","99"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-deformed-seed1234","1642","2026-08-04T13:17:16.000Z","0","98","98","0","0.19351203739643097","0.9472478032112122","0.9623507857322692","0.9623507857322692","1234","BCE_OneSideSDFPlain","deformed","","","","","","","","","e7zybzcp","","","","","","","","","57"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-deformed-seed219","1603","2026-08-04T15:26:19.000Z","0","98","98","5","0.5260494947433472","0.9460528492927552","0.9376360774040222","0.9376360774040222","219","OneSideSDFPlain_OneSideSDFPlain","deformed","","","","","","","","","ul2twic1","","","","","","","","","52"
"ex3-initial_decoupled-OneSideSDFPlain_OneSideSDFPlain-deformed-seed1234","1619","2026-08-04T13:56:17.000Z","0","98","98","1","0.3638704121112823","0.94562429189682","0.9384137392044068","0.9384137392044068","1234","OneSideSDFPlain_OneSideSDFPlain","deformed","","","","","","","","","nlmazk5j","","","","","","","","","54"
"ex3-initial_decoupled-BCE_OneSideSDFSquared-deformed-seed1234","1982","2026-08-04T13:10:57.000Z","0","98","98","0","0.4224470555782318","0.945318877696991","0.9632052779197692","0.9632052779197692","1234","BCE_OneSideSDFSquared","deformed","","","","","","","","","ba08vl80","","","","","","","","","68"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-deformed-seed219","2554","2026-08-04T15:19:26.000Z","0","98","98","0","0.4562760889530182","0.9418484568595886","0.9354904294013976","0.9354904294013976","219","OneSideSDFSquared_OneSideSDFSquared","deformed","","","","","","","","","1b9wdrj5","","","","","","","","","87"
"ex3-initial_decoupled-OneSideSDFSquared_OneSideSDFSquared-deformed-seed1234","2932","2026-08-04T13:46:35.000Z","0","98","98","0","0.44398412108421326","0.9410210251808168","0.9399333596229552","0.9399333596229552","1234","OneSideSDFSquared_OneSideSDFSquared","deformed","","","","","","","","","y0liwqle","","","","","","","","","99"
"ex3-initial_decoupled-BCE_OneSideSDFPlain-deformed-seed219","1139","2026-08-04T14:47:45.000Z","0","98","98","9","0.49348184466362","0.9398282170295716","0.9622435569763184","0.9622435569763184","219","BCE_OneSideSDFPlain","deformed","","","","","","","","","urinbgyc","","","","","","","","","38"
